year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,211,Divorced,2,37,High school,MALE,Very happy,Very satisfied,56160.0,Ballot b
2016,212,Never married,0,21,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,213,Married,1,43,High school,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot a
2016,214,Married,2,45,Bachelor's,FEMALE,Very happy,Moderately satisfied,-100.0,Ballot c
2016,215,Divorced,1,76,Graduate,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot b
2016,216,Married,8 or more,77,High school,MALE,Pretty happy,.i:  Inapplicable,15210.0,Ballot c
2016,217,Never married,1,61,Bachelor's,FEMALE,Pretty happy,A little dissatisfied,25740.0,Ballot b
2016,218,Never married,2,45,Less than high school,FEMALE,Pretty happy,.i:  Inapplicable,11115.0,Ballot a
2016,219,Divorced,4,47,High school,MALE,Very happy,Very satisfied,38610.0,Ballot a
2016,220,Married,1,41,Bachelor's,MALE,Very happy,Moderately satisfied,56160.0,Ballot c
2016,221,Never married,0,19,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,222,Married,3,50,Less than high school,MALE,Very happy,A little dissatisfied,9945.0,Ballot c
2016,223,Never married,0,25,High school,MALE,Pretty happy,Moderately satisfied,11115.0,Ballot c
2016,224,Married,2,45,Graduate,MALE,Very happy,Very satisfied,164382.03756,Ballot c
2016,225,Never married,0,21,Associate/junior college,MALE,Pretty happy,Moderately satisfied,-100.0,Ballot b
2016,226,Married,1,48,High school,FEMALE,Very happy,Moderately satisfied,17550.0,Ballot a
2016,227,Never married,0,25,Graduate,MALE,Pretty happy,Very satisfied,25740.0,Ballot c
2016,228,Never married,0,31,Bachelor's,MALE,Very happy,Very satisfied,31590.0,Ballot b
2016,229,Never married,1,33,Bachelor's,FEMALE,Pretty happy,Moderately satisfied,15210.0,Ballot c
2016,230,Married,3,72,Bachelor's,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,231,Widowed,3,70,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,232,Married,2,66,Bachelor's,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot c
2016,233,Married,2,57,Graduate,FEMALE,Very happy,Very satisfied,65520.0,Ballot b
2016,234,Married,2,81,Graduate,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,235,Never married,0,23,Bachelor's,MALE,Pretty happy,Moderately satisfied,234.0,Ballot b
2016,236,Divorced,2,48,Bachelor's,FEMALE,Not too happy,Very satisfied,56160.0,Ballot a
2016,237,Married,3,62,Bachelor's,FEMALE,Pretty happy,Moderately satisfied,5265.0,Ballot c
2016,238,Married,3,43,High school,MALE,Pretty happy,A little dissatisfied,6435.0,Ballot c
2016,239,Never married,0,34,High school,FEMALE,Very happy,Very satisfied,6435.0,Ballot a
