year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,195,never married,4,32,less than high school,male,pretty happy,NA,8775,ballot a
2016,196,married,1,38,associate/junior college,male,very happy,very satisfied,25740,ballot b
2016,197,never married,0,79,high school,female,very happy,NA,NA,ballot c
2016,198,never married,0,49,bachelor's,male,very happy,NA,46800,ballot a
2016,199,never married,0,22,associate/junior college,male,pretty happy,moderately satisfied,1638,ballot a
2016,200,married,0,30,bachelor's,male,pretty happy,NA,46800,ballot a
2016,201,married,2,47,high school,male,pretty happy,very satisfied,164382.03756,ballot a
2016,202,separated,1,55,high school,male,pretty happy,very satisfied,46800,ballot b
2016,203,never married,0,30,bachelor's,male,very happy,moderately satisfied,38610,ballot b
2016,204,never married,0,29,bachelor's,male,pretty happy,moderately satisfied,25740,ballot b
2016,205,never married,0,37,bachelor's,male,very happy,very satisfied,3042,ballot c
2016,206,never married,0,67,graduate,female,pretty happy,very satisfied,9945,ballot b
2016,207,separated,0,38,bachelor's,female,pretty happy,NA,21060,ballot a
2016,208,widowed,0,81,high school,female,not too happy,very satisfied,NA,ballot b
2016,209,separated,0,35,associate/junior college,male,pretty happy,moderately satisfied,2106,ballot b
2016,210,married,1,46,graduate,male,not too happy,NA,NA,ballot a
2016,211,divorced,2,37,high school,male,very happy,very satisfied,56160,ballot b
2016,212,never married,0,21,high school,male,pretty happy,NA,NA,ballot a
2016,213,married,1,43,high school,male,very happy,NA,NA,ballot a
2016,214,married,2,45,bachelor's,female,very happy,moderately satisfied,NA,ballot c
2016,215,divorced,1,76,graduate,female,very happy,NA,NA,ballot b
2016,216,married,8,77,high school,male,pretty happy,NA,15210,ballot c
2016,217,never married,1,61,bachelor's,female,pretty happy,a little dissatisfied,25740,ballot b
2016,218,never married,2,45,less than high school,female,pretty happy,NA,11115,ballot a
2016,219,divorced,4,47,high school,male,very happy,very satisfied,38610,ballot a
2016,220,married,1,41,bachelor's,male,very happy,moderately satisfied,56160,ballot c
2016,221,never married,0,19,high school,female,pretty happy,NA,NA,ballot b
2016,222,married,3,50,less than high school,male,very happy,a little dissatisfied,9945,ballot c
2016,223,never married,0,25,high school,male,pretty happy,moderately satisfied,11115,ballot c
2016,224,married,2,45,graduate,male,very happy,very satisfied,164382.03756,ballot c
2016,225,never married,0,21,associate/junior college,male,pretty happy,moderately satisfied,NA,ballot b
2016,226,married,1,48,high school,female,very happy,moderately satisfied,17550,ballot a
2016,227,never married,0,25,graduate,male,pretty happy,very satisfied,25740,ballot c
2016,228,never married,0,31,bachelor's,male,very happy,very satisfied,31590,ballot b
2016,229,never married,1,33,bachelor's,female,pretty happy,moderately satisfied,15210,ballot c
2016,230,married,3,72,bachelor's,male,pretty happy,NA,NA,ballot b
2016,231,widowed,3,70,high school,female,pretty happy,NA,NA,ballot a
2016,232,married,2,66,bachelor's,female,very happy,NA,NA,ballot c
2016,233,married,2,57,graduate,female,very happy,very satisfied,65520,ballot b
2016,234,married,2,81,graduate,male,pretty happy,NA,NA,ballot c
2016,235,never married,0,23,bachelor's,male,pretty happy,moderately satisfied,234,ballot b
2016,236,divorced,2,48,bachelor's,female,not too happy,very satisfied,56160,ballot a
2016,237,married,3,62,bachelor's,female,pretty happy,moderately satisfied,5265,ballot c
2016,238,married,3,43,high school,male,pretty happy,a little dissatisfied,6435,ballot c
2016,239,never married,0,34,high school,female,very happy,very satisfied,6435,ballot a
2016,240,married,2,36,high school,male,very happy,very satisfied,25740,ballot b
2016,241,never married,5,37,high school,male,pretty happy,very satisfied,25740,ballot b
2016,242,never married,0,32,high school,male,very happy,very satisfied,9945,ballot a
2016,243,separated,6,53,less than high school,female,very happy,very satisfied,11115,ballot b
2016,244,widowed,1,42,high school,male,very happy,very satisfied,31590,ballot b
2016,245,married,3,51,high school,male,very happy,NA,NA,ballot a
2016,246,married,0,44,graduate,female,pretty happy,NA,65520,ballot a
2016,247,married,1,36,high school,female,pretty happy,moderately satisfied,NA,ballot c
2016,248,married,0,49,associate/junior college,male,pretty happy,moderately satisfied,38610,ballot b
2016,249,married,3,49,high school,female,very happy,very satisfied,15210,ballot b
